"course_custom_id","course_name","course_numberOfDaysPerWeek","course_numberOfWeeks","course_subjects","course_gradeYears","course_defaultDaysOfTheWeek","course_gradingStyle","course_color","course_picture","course_credits","course_description","course_introduction"
"alveary-recu4bKUJ3T5ckZ0r","Copywork: Grade 8","5","36","English","[]","{, 'monday': True, 'tuesday': True, 'wednesday': True, 'thursday': True, 'friday': True, }","UNGRADED","","","","<p>Students copy passages from their books. (Alveary Copywork &amp; Dictation Books provide selected passages).</p><p>This topic is included in the following course(s): Language Study: Grade 8</p>",""
"alveary-recT4UozamvcGDgnH","Grammar/Comp: Grade 9","5","36","English","[]","{, 'monday': True, 'tuesday': True, 'wednesday': True, 'thursday': True, 'friday': True, }","UNGRADED","","","","<p>This course works alongside Michael Clay Thompson's Essay Voyage lessons. It invites students to explore writing concepts such as tone, style, point of view, and more. Students also experiment with multiple written forms and gain familiarity with key habits of academic writing.</p><p>This topic is included in the following course(s): Language Study: Grade 9</p>","<p>Grammar/Comp: Grade 9<br>☐ Bookmark or print the documents listed in Quick Links below for use throughout the term.</p>"
"alveary-recmKSiBZiXiTeogS","Dictation: Grade 9","5","36","English","[]","{, 'monday': True, 'tuesday': True, 'wednesday': True, 'thursday': True, 'friday': True, }","UNGRADED","","","","<p>Students use passages from their books to practice dictation skills.</p><p>This topic is included in the following course(s): Language Study: Grade 9</p>",""
"alveary-rec1IfxRgu1jEPXtR","Grammar: Grade 10","5","36","English","[]","{, 'monday': True, 'tuesday': True, 'wednesday': True, 'thursday': True, 'friday': True, }","UNGRADED","","","","<p>This course, based on Michael Clay Thompson's Caesar's English II, takes students through a delightful study of words that includes a mix of Latin stems, classic words, grammar, history, and writing.</p><p>This topic is included in the following course(s): Language Study: Grade 10</p>","<p>Grammar: Grade 10<br>☐ Print or bookmark the Quick Links below for use during the term.</p>"
"alveary-rectAFVrB2YrnSWYZ","Composition: Grade 10","5","36","English","[]","{, 'monday': True, 'tuesday': True, 'wednesday': True, 'thursday': True, 'friday': True, }","UNGRADED","","","","<p>Students build experience with multiple forms of writing and writing concepts such as dialogue, scene writing, point of view, outlining, various types of analysis, and more while honing their revision and editing skills with Williams’ and Bizup’s classic text.</p><p>This topic is included in the following course(s): Language Study: Grade 10</p><p>Composition: Grade 10<br>In addition to their composition and grammar lessons, students should continue to keep track of their regular written narrations and write 5-10 each week. Not all narrations need to be lengthy, but students should be comfortable typing multiple paragraphs if given the time.</p>","<p>Composition: Grade 10<br>☐ One purpose of composition lessons is to encourage you, the student, to dig deeper, self-reflect on your own thoughts and writing, and learn how to ask good questions of yourself and your readings. It isn't about proving to your teacher that you read a book or did an assignment.</p><p>☐ Set the timer and use the whole time allotted for a lesson. If you finish an assignment with extra time, explore another perspective, ask further questions, or take a bit more time to see if any other thoughts come to mind. Alternately, if you find yourself stuck, you may want to take a short break and come back later or break up the time into two shorter times. Growth, not frustration, is the goal.</p><p>Composition: Grade 10<br>☐ Plan to have your student(s) type the majority of their narrations and compositions. See keyboarding course for resources on typing if needed.</p><p>☐ Encourage students to spend all the time left at the end of a lesson on their written narrations and the whole lesson time on their compositions and give as much detail as possible. For their narrations, it may help if you encourage them to think of writing their narrations for a friend or someone who has never read the book, rather than for you, who might already know the story. If they feel like they've run out of things to write, have them try varying the type of narration they're writing (interview, sketch, letter, poem, etc.).</p>"
"alveary-recC9UFboe5SqAjFU","Composition: Grade 11","5","36","English","[]","{, 'monday': True, 'tuesday': True, 'wednesday': True, 'thursday': True, 'friday': True, }","UNGRADED","","","","<p>Students continue to practice writing poetry and prose of various kinds while working on a few longer projects each term. Lessons topics include: logical fallacies,  research and citation habits, narrative techniques, the ethics of communication, and more.</p><p>This topic is included in the following course(s): Language Study: Grade 11</p><p>Composition: Grade 11<br>In addition to their composition and grammar lessons, students should continue to keep track of their regular written narrations and write 5-10 each week. Not all narrations need to be lengthy, but students should be comfortable typing multiple paragraphs if given the time.</p>","<p>Composition: Grade 11<br>☐ One purpose of composition lessons is to encourage you, the student, to dig deeper, self-reflect on your own thoughts and writing, and learn how to ask good questions of yourself and your readings. It isn't about proving to your teacher that you read a book or did an assignment.</p><p>☐ Set the timer and use the whole time allotted for a lesson. If you finish an assignment with extra time, explore another perspective, ask further questions, or take a bit more time to see if any other thoughts come to mind. Alternately, if you find yourself stuck, you may want to take a short break and come back later or break up the time into two shorter times. Growth, not frustration, is the goal.</p><p>Composition: Grade 11<br>☐ Plan to have your student(s) type the majority of their narrations and compositions. See keyboarding course for resources on typing if needed.</p><p>☐ Encourage students to spend all the time left at the end of a lesson on their written narrations and the whole lesson time on their compositions, and give as much detail as possible. For their narrations, it may help if you encourage them to think of writing their narrations for a friend or someone who has never read the book, rather than for you, who might already know the story. If they feel like they've run out of things to write, have them try varying the type of narration they're writing (interview, sketch, letter, poem, etc.).</p>"
"alveary-recT3teTf2qjZsjGH","Composition: Grade 12","5","36","English","[]","{, 'monday': True, 'tuesday': True, 'wednesday': True, 'thursday': True, 'friday': True, }","UNGRADED","","","","<p>Students continue to build experience with multiple forms of writing and practice healthy writing habits. This course especially focuses on the ethical dimension of words today, the role of technology, and the craft of research and academic writing, so students learn to show the significance of their ideas within a scholarly conversation.</p><p>This topic is included in the following course(s): Language Study: Grade 12</p><p>Composition: Grade 12<br>In addition to their composition and grammar lessons, students should continue to keep track of their regular written narrations and write 5-10 each week. Not all narrations need to be lengthy, but students should be comfortable typing multiple paragraphs if given the time.</p>","<p>Composition: Grade 12<br>☐ One purpose of composition lessons is to encourage you, the student, to dig deeper, self reflect on your own thoughts and writing, and learn how to ask good questions of yourself and your readings. It isn't about proving to your teacher that you read a book or did an assignment.</p><p>☐ Set the timer and use the whole time allotted for a lesson. If you finish an assignment with extra time, explore another perspective, ask further questions, or take a bit more time to see if any other thoughts come to mind. Alternately, if you find yourself stuck, you may want to take a short break and come back later or break up the time into two shorter times. Growth, not frustration, is the goal.</p><p>Composition: Grade 12<br>☐ Plan to have your student(s) type the majority of their narrations and compositions. See keyboarding course for resources on typing if needed.</p><p>☐ Encourage students to spend all the time left at the end of a lesson on their written narrations and the whole lesson time on their compositions and give as much detail as possible. For their narrations, it may help if you encourage them to think of writing their narrations for a friend or someone who has never read the book rather than for you, who might already know the story. If they feel like they've run out of things to write, have them try varying the type of narration they're writing (interview, sketch, letter, poem, etc.).</p>"
"alveary-reckHfgy0rQ9Ownc3","Recitation: Grades 1-2","5","36","English","[]","{, 'monday': True, 'tuesday': True, 'wednesday': True, 'thursday': True, 'friday': True, }","UNGRADED","","","","<p>Each term, recite from memory or read beautifully 1 hymn, 1 Old Testament passage, 1 New Testament passage, 1 Psalm, and 1 poem.</p>","<p>Recitation: Grades 1-2<br>☐ Print or order a copy of &quot;Our Work&quot; student packet for each student. (Available as a hard copy, PDF, or editable template in Book List.)</p>"
"alveary-rec9adbFUr8Zxug05","Recitation: Grade 3","5","36","English","[]","{, 'monday': True, 'tuesday': True, 'wednesday': True, 'thursday': True, 'friday': True, }","UNGRADED","","","","<p>Each term, recite from memory or read beautifully 1 Hymn, 1 Old Testament passage, 1 New Testament passage, 1 Psalm, and 1 Poem.</p>","<p>Recitation: Grade 3<br>☐ Print or order a copy of &quot;Our Work&quot; student packet for each student. (Available as a hard copy, PDF, or editable template in Book List.)</p>"
"alveary-recDenQ9P14S7U5Jy","Recitation: Grades 4-6","5","36","English","[]","{, 'monday': True, 'tuesday': True, 'wednesday': True, 'thursday': True, 'friday': True, }","UNGRADED","","","","<p>Each term, recite from memory or read beautifully 1 hymn, 1 Old Testament passage, 1 New Testament passage, 1 Psalm, and 1 poem or Shakespeare passage.</p>","<p>Recitation: Grades 4-6<br>☐ Print or order a copy of &quot;Our Work&quot; student packet for each student. (Available as a hard copy, PDF, or editable template in Book List).</p>"
"alveary-recgBJaELI11Rfass","Recitation: Grades 7-8","5","36","English","[]","{, 'monday': True, 'tuesday': True, 'wednesday': True, 'thursday': True, 'friday': True, }","UNGRADED","","","","<p>Each term, recite from memory or read beautifully 1 hymn, 1 Old Testament passage, 1 New Testament passage, 1 Psalm, and 1 poem or Shakespeare passage.</p>","<p>Recitation: Grades 7-8<br>☐ Print or order a copy of &quot;Our Work&quot; student packet for each student. (Available as a hard copy, PDF, or editable template in Book List).</p>"
"alveary-recinqOPd3B7x7LGT","Recitation: Grade 9","3","36","English","[]","{, 'monday': True, 'tuesday': False, 'wednesday': True, 'thursday': False, 'friday': True, }","UNGRADED","","","","<p>Each term, recite from memory or read beautifully 1 hymn, 1 Old Testament passage, 1 New Testament passage, 1 Psalm, and 1 poem or Shakespeare passage.</p>","<p>Recitation: Grade 9<br>☐ Print or order a copy of &quot;Our Work&quot; student packet for each student. (Available as a hard copy, PDF, or editable template in Book List).</p>"
"alveary-receSYIqsZfayqSep","Recitation: Grade 10","3","36","English","[]","{, 'monday': True, 'tuesday': False, 'wednesday': True, 'thursday': False, 'friday': True, }","UNGRADED","","","","<p>Each term, recite from memory or read beautifully 1 hymn, 1 Old Testament passage, 1 New Testament passage, 1 Psalm, and 1 poem or Shakespeare passage.</p>","<p>Recitation: Grade 10<br>☐ Print or order a copy of &quot;Our Work&quot; student packet for each student. (Available as a hard copy, PDF, or editable template in Book List).</p>"
"alveary-rec2vDs8P5SlvGqt8","Recitation: Grade 11","3","36","English","[]","{, 'monday': True, 'tuesday': False, 'wednesday': True, 'thursday': False, 'friday': True, }","UNGRADED","","","","<p>Each term, recite from memory or read beautifully 1 hymn, 1 Old Testament passage, 1 New Testament passage, 1 Psalm, and 1 poem or Shakespeare passage.</p>","<p>Recitation: Grade 11<br>☐ Print or order a copy of &quot;Our Work&quot; student packet for each student. (Available as a hard copy, PDF, or editable template in Book List).</p>"
"alveary-recFaWOHky963jhk1","Recitation: Grade 12","3","36","English","[]","{, 'monday': True, 'tuesday': False, 'wednesday': True, 'thursday': False, 'friday': True, }","UNGRADED","","","","<p>Each term, recite from memory or read beautifully 1 hymn, 1 Old Testament passage, 1 New Testament passage, 1 Psalm, and 1 poem or Shakespeare passage.</p>","<p>Recitation: Grade 12<br>☐ Print or order a copy of &quot;Our Work&quot; student packet for each student. (Available as a hard copy, PDF, or editable template in Book List).</p>"
"alveary-recio4vYjPKqOxO9C","Geography: Grade 1","2","36","Geography","[]","{, 'monday': True, 'tuesday': False, 'wednesday': False, 'thursday': True, 'friday': False, }","UNGRADED","","","","<p>Discover the earth’s continents, the changing seasons, latitude and longitude, map-making, and topographical features. Use a globe, wall maps, and models to explore the concept of place by taking an in-depth look at “home” in North America. Students make models and maps of places that are important to them such as their room, home, and yard.</p>","<p>Geography: Grade 1<br>☐ Remember to look ahead to see what simple supplies will be needed.</p>"
"alveary-recVbplqezWnbiBoG","Geography: Grade 2 (U.S.)","2","36","Geography","[]","{, 'monday': True, 'tuesday': False, 'wednesday': True, 'thursday': False, 'friday': False, }","UNGRADED","","","","<p>Join the Page family as they travel from California to Washington, D.C. While this story is set in the U.S.A., the point of the book is really to explore basic geography concepts such as landforms, water bodies, maps, and regions, so it is suitable for students from any nation. Students use the globe, atlases, and models. Students also make models and draw maps of places important to them such as their neighborhood.</p>","<p>Geography: Grade 2 (U.S.)<br>☐ Print the maps needed for some of the future lessons. You will find the map links in the prep section of each lesson.</p><p>☐ Print the 5th edition map PDF linked below in the Quick Links section for lessons that use economic symbols (not in the 6th edition of the U.S. atlas).</p>"
"alveary-rechch3gkLaICGbWm","Geography: Grade 2 (Canada)","2","36","Geography","[]","{, 'monday': True, 'tuesday': False, 'wednesday': True, 'thursday': False, 'friday': False, }","UNGRADED","","","","<p>Explore each region of Canada, its geological features, cultural geography, symbols, and varied ecosystems. Along the way, students practice their mapping skills by making models and drawing places local to them, such as their neighborhood.</p>",""
"alveary-rec9lkHl3pKY5QBnE","Geography: Grade 3 (U.S.)","2","36","Geography","[]","{, 'monday': True, 'tuesday': False, 'wednesday': True, 'thursday': False, 'friday': False, }","UNGRADED","","","","<p>Join the Page family as they travel from California to Washington, D.C. While this story is set in the U.S.A., the point of the book is really to explore basic geography concepts such as landforms, water bodies, maps, and regions, so it is suitable for students from any nation. Students use the globe, atlases, and models. Students also make models and draw maps of places important to them, such as their neighborhood.</p>","<p>Geography: Grade 3 (U.S.)<br>☐ Print the maps needed for some of the future lessons. You will find the map links in the prep section of each lesson.</p><p>☐ Print the 5th edition map PDF linked below in the Quick Links section for lessons that use economic symbols. (not in the 6th edition of the U.S. atlas)</p><p>☐ Check the Appendix for tips on creating geography models and relief maps.</p>"
"alveary-rec58LbwqGM3cFqNd","Geography: Grade 3 (Canada)","2","36","Geography","[]","{, 'monday': True, 'tuesday': False, 'wednesday': True, 'thursday': False, 'friday': False, }","UNGRADED","","","","<p>Explore each region of Canada, its geological features, cultural geography, symbols, and varied ecosystems. Along the way, students practice their mapping skills by making models and drawing places local to them, such as their neighborhood.</p>",""
"alveary-rec2nFZJdIYdGP3Nr","Geography: Grades 4-6","2","36","Geography","[]","{, 'monday': True, 'tuesday': False, 'wednesday': False, 'thursday': False, 'friday': True, }","UNGRADED","","","","<p>Travel along rivers, across continents, and along trade routes significant during this year's time period (1800-1900). Explore the physical and human geography (including economy and culture) of each region through reading, map work, and models. Students will also engage in map activities that focus on their local region.</p>","<p>Geography: Grades 4-6<br>☐ Print any special maps needed for lessons.</p>"
"alveary-recyu5tjwRcMydVgV","Geography: Grade 7 (U.S.)","2","36","Geography","[]","{, 'monday': True, 'tuesday': False, 'wednesday': True, 'thursday': False, 'friday': False, }","UNGRADED","","","","<p>Students read about the story of cartography from ancient Mesopotamia up through the discovery of Antarctica in the late 1800s and draw maps along the way. The course finishes with a term of historical geography where students follow the steps of travelers from the 19th century.</p>",""
"alveary-recmcMLVf0UYM6aBz","Geography: Grade 7 (Canada)","2","36","Geography","[]","{, 'monday': True, 'tuesday': False, 'wednesday': True, 'thursday': False, 'friday': False, }","UNGRADED","","","","<p>Students read about the story of cartography from ancient Mesopotamia up through the discovery of Antarctica in the late 1800s and draw maps along the way. The course finishes with a term of historical geography where students follow the steps of Canadian explorers from the 19th century and learn about Canadian provinces through map work.</p><p>Geography: Grade 7 (Canada)<br>The book used in Term 3—Exploring the Frozen North by Pierre Berton—is a compendium of several shorter books written for younger readers by Berton on the theme of Arctic exploration. One such book is assigned for the course: Trapped in the Arctic. This collection, however, is the most cost-effective and accessible way to get the book. The other selections would make interesting free reads or read-alouds, but because there is some sensitive content in the other books, parents may prefer to preread.</p>",""
"alveary-recJnS9WLFjeyObeC","Geography: Grade 8 (U.S.)","2","36","Geography","[]","{, 'monday': True, 'tuesday': False, 'wednesday': True, 'thursday': False, 'friday': False, }","UNGRADED","","","","<p>Students focus on US geography using maps, illustrations, and historical narratives about travelers during the 19th century.</p>",""
"alveary-recsCGDu4MrTcBayw","Geography: Grade 8 (Canada)","2","36","Geography","[]","{, 'monday': True, 'tuesday': False, 'wednesday': True, 'thursday': False, 'friday': False, }","UNGRADED","","","","<p>Students study various natural features of Canada's provinces and territories and create a detailed, illustrated map over the course of the year. They also read a travelogue from the year's historical period.</p>",""
"alveary-recozIFrMD6NysNeJ","Geography: Grade 9","2","36","Geography","[]","{, 'monday': False, 'tuesday': True, 'wednesday': False, 'thursday': True, 'friday': False, }","UNGRADED","","","","<p>Students learn current and historical aspects of regional and world geography with map work.</p>","<p>Geography: Grade 9<br>☐ Links to blank outline maps are in the Lesson Plans. Maps in the books for the course can be used as well.</p><p>☐ You will need a blank or dotted notebook or sketchbook for your map work.</p><p>☐ Make a point to know something about places mentioned in current news and events of the day. Look up place names in your atlas. Perhaps, make a map to identify event locations throughout the year.</p>"
"alveary-recxTqmYbsfzqrSFv","Geography: Grade 10-11","2","36","Geography","[]","{, 'monday': False, 'tuesday': True, 'wednesday': False, 'thursday': True, 'friday': False, }","UNGRADED","","","","<p>Students learn current and historical aspects of regional and world geography with map work.</p>",""
"alveary-rec9g2E2myK8cBPym","Geography: Grade 12","2","36","Geography","[]","{, 'monday': False, 'tuesday': True, 'wednesday': False, 'thursday': True, 'friday': False, }","UNGRADED","","","","<p>Focusing mainly on travelers and places important to the year's time period, students learn regional and world geography and practice mapwork. Additionally, students spend a term on North American regional geography and dive into political geography and the ramifications of national and regional borders, which continue into the present day.</p>",""
"alveary-rec7uNgPYM9JcXao1","History: Grade 1 (U.S.)","1","36","History","[]","{, 'monday': False, 'tuesday': True, 'wednesday': False, 'thursday': False, 'friday': False, }","UNGRADED","","","","<p>Get to know the diverse people who inhabited North America before Columbus arrived. Learn how they used what was available around them for food, shelter, clothing, and protection. Observe their customs and hear their stories.</p>","<p>History: Grade 1 (U.S.)<br>☐ NOTE: Hiawatha &amp; the Peacemaker contains some illustrations that sensitive children may find scary; however, this book is very important, as it tells the traditional legend of how the Iroquois Confederacy (which heavily influenced the American Founding Fathers) was formed. Preview the book and decide if there are pictures you would rather your student(s) not see.</p><p>☐ Go through the lessons and decide if you want to print the images provided in the links. Store these with lesson plans for easy access.</p><p>☐ Number the pages (starting with the first page of text) in The Very First Americans, Frozen Land, Moonstick, Hiawatha &amp; The Peacemaker, and Itse Selu.</p><p>☐ Print the PDFs linked below in Quick Links for Tales the Totems Tell and The Book of Indians, Chapter IX.</p>"
"alveary-rec1NRlYp2n4n75t8","History: Grade 1 (Canada)","1","36","History","[]","{, 'monday': False, 'tuesday': True, 'wednesday': False, 'thursday': False, 'friday': False, }","UNGRADED","","","","<p>Get to know the diverse people who inhabited North America before the European explorers arrived. Learn how they used what was available around them for food, shelter, clothing, and protection. Observe their customs, hear their stories, and discover how they pass on their traditional knowledge today.</p>",""
"alveary-reczpuW6rvOyzzblj","History: Grades 2-3 (U.S.)","1","36","History","[]","{, 'monday': False, 'tuesday': False, 'wednesday': False, 'thursday': False, 'friday': True, }","UNGRADED","","","","<p>Read United States history stories from the current history cycle (1800-1900). View images and reference atlases and maps to set the people and events in their time and place. Update History Charts as appropriate for student level.</p>",""
"alveary-recfcbGoR5uy9BcFf","Canadian History: Grades 2-4","5","36","History","[]","{, 'monday': True, 'tuesday': True, 'wednesday': True, 'thursday': True, 'friday': True, }","UNGRADED","","","","<p>Read Canadian history stories from the current history cycle (1800-1900). View images and reference atlases and maps to set the people and events in their time and place. Update History Charts as appropriate for student level.</p><p>This topic is included in the following course(s): History: Grades 2-3 (Canada), History: Grade 4 (Canada)</p>","<p>History: Grades 2-3 (Canada)<br>☐ Read the document in the Quick Links about History Timelines and Charts.</p><p>☐ We encourage you to pick a biography for each term to read in the afternoons. The Bookshelf has many recommendations.</p>"
"alveary-rec0YPXUt8khcgULi","U.S. History: Grades 4-6","5","36","History","[]","{, 'monday': True, 'tuesday': True, 'wednesday': True, 'thursday': True, 'friday': True, }","UNGRADED","","","","<p>Read United States and world history stories from the current history cycle (1800-1900). View images and reference atlases and maps to set the people and events in their time and place. Update History Charts as appropriate for student level.</p><p>This topic is included in the following course(s): History: Grade 4 (U.S.), History: Grades 5-6 (U.S.)</p>","<p>History: Grade 4 (U.S.)<br>☐ Read the document in the Quick Links about History Timelines and Charts.</p><p>☐ We encourage you to pick a biography for each term to read in the afternoons. The Bookshelf has many recommendations.</p>"
"alveary-reckIbzVuwanEJ4os","World History: Grades 4-6","5","36","History","[]","{, 'monday': True, 'tuesday': True, 'wednesday': True, 'thursday': True, 'friday': True, }","UNGRADED","","","","<p>Through the reading of history stories and biographies, students experience what life was like in different times and places. They are exposed to the everyday experiences as well as the major events from our current history cycle (1800-1900). Students will also view images, reference maps, and work on their century charts and Book of Centuries as part of their lessons.</p><p>This topic is included in the following course(s): History: Grade 4 (U.S.), History: Grade 4 (Canada), History: Grades 5-6 (U.S.), History: Grades 5-6 (Canada)</p>","<p>History: Grade 4 (U.S.)<br>☐ Read the document in the Quick Links about History Timelines and Charts.</p><p>☐ We encourage you to pick a biography for each term to read in the afternoons. The Bookshelf has many recommendations.</p><p>History: Grades 5-6 (Canada)<br>☐ Read the document in the Quick Links about History Timelines and Charts.</p><p>☐ We encourage you to pick a biography for each term to read in the afternoons. The Bookshelf has many recommendations.</p>"
"alveary-recTYpFpYIaDutvIa","Ancient History: Grades 5-6","5","36","History","[]","{, 'monday': True, 'tuesday': True, 'wednesday': True, 'thursday': True, 'friday': True, }","UNGRADED","","","","<p>Study history stories about the ancient civilizations that lived from 100 BC to 350 AD. View images and reference atlases and maps to set the people and events in their time and place. Update History Charts and Book of Centuries as appropriate for student level.</p><p>This topic is included in the following course(s): History: Grades 5-6 (U.S.), History: Grades 5-6 (Canada)</p>","<p>History: Grades 5-6 (Canada)<br>☐ Read the document in the Quick Links about History Timelines and Charts.</p><p>☐ We encourage you to pick a biography for each term to read in the afternoons. The Bookshelf has many recommendations.</p>"
"alveary-recyw9Tjk8xQIKR3q","Canadian History: Grades 5-6","3","36","History","[]","{, 'monday': False, 'tuesday': True, 'wednesday': False, 'thursday': True, 'friday': True, }","UNGRADED","","","","<p>Read about Canadian history from 1800-1900 through a variety of texts: engaging narratives, history spines, primary source documents, and historical fiction. These books, which offer a range of perspectives, will immerse students in the time period and allow them to see the world through the eyes of those who lived it. Students will view images and reference atlases and maps to set the people and events in their time and place. Update History Charts and Book of Centuries as appropriate for student level.</p><p>This topic is included in the following course(s): History: Grades 5-6 (Canada)</p>","<p>History: Grades 5-6 (Canada)<br>☐ Read the document in the Quick Links about History Timelines and Charts.</p><p>☐ We encourage you to pick a biography for each term to read in the afternoons. The Bookshelf has many recommendations.</p>"
"alveary-rec2VXhvxGK38hpk1","U.S. History: Grades 7-8","2","36","History","[]","{, 'monday': False, 'tuesday': True, 'wednesday': False, 'thursday': True, 'friday': False, }","UNGRADED","","","","<p>Read about U.S. history from 1800-1900 through books that immerse students in the time period and allow them to see the world through the eyes of those who lived it. Through engaging narratives, history spines, primary source documents, and books that show different perspectives, students come to see history as more than dates and events and develop relationships with people from the past. Viewing images, looking at maps, and working on one's Book of Centuries are also part of developing this relationship.</p><p>This topic is included in the following course(s): History: Grades 7-8 (U.S.)</p>",""
"alveary-rec2Ve2pxnvaAIg4K","World History: Grades 7-8","5","36","History","[]","{, 'monday': True, 'tuesday': True, 'wednesday': True, 'thursday': True, 'friday': True, }","UNGRADED","","","","<p>One of the most powerful truths that history can teach us is that the past was different from the present. The way things are now is not the way they have always been, which should make us aware of the likelihood that the way things are now is not how they will be. The study of world history exposes students to what life was like in different places and at different times. As students read about people and events from 1800-1900 through history spines, historical novels, and primary source documents, they will get a better picture of the way people viewed the world, the challenges they faced, and the legacy they left behind. Students will also view images, reference maps, and work on their Book of Centuries as part of their lessons.</p><p>This topic is included in the following course(s): History: Grades 7-8 (U.S.), History: Grades 7-8 (Canada)</p>",""
"alveary-rec35HIIi6CIj2I0T","Ancient History: Grades 7-9","5","36","History","[]","{, 'monday': True, 'tuesday': True, 'wednesday': True, 'thursday': True, 'friday': True, }","UNGRADED","","","","<p>Read about ancient history from 100 BC-350 AD through biographies, primary source documents, historical fiction, and history spines. Students will view images, reference maps, and update their Book of Centuries as part of the lessons.</p><p>This topic is included in the following course(s): History: Grades 7-8 (U.S.), History: Grades 7-8 (Canada), History: Grade 9 (U.S.), History: Grade 9 (Canada)</p>","<p>Ancient History: Grades 7-9<br>The Sand-Reckoner is a well-written and well-researched account of a portion of the life of Archimedes. Math, engineering, duty, justice, stewardship, and courage are some of the themes. The setting is Syracuse in 264 B.C. and as such has a few references to immoral behavior representative of the period as well as some light romantic content that you may want to preview to decide what is best for your particular student(s), especially those on the younger end of the age range. Some may choose to read the story aloud to edit on the fly if needed and to encourage discussion. Some may choose to edit some wording in the text. Others will be fine with the content as is. We encourage all to provide an inviting space for students to ask questions and share thoughts as they process what they are reading in their books. Pages to preview: 14, 36, 40-41, 171, 198, 204, 249.  There is always the option of substituting for either of the books scheduled in Grades 4-6 as well.</p>"
"alveary-recjFbzbQHFiDKuEN","Canadian History: Grades 7-8","2","36","History","[]","{, 'monday': False, 'tuesday': True, 'wednesday': False, 'thursday': True, 'friday': False, }","UNGRADED","","","","<p>Read about Canadian history from 1800-1900 through books that immerse students in the time period and allow them to see the world through the eyes of those who lived it. Through engaging narratives, biographies, history spines, primary source documents, oral histories, historical fiction, and books that show different perspectives, students come to see history as more than dates and events and develop relationships with people from the past. Viewing images, looking at maps, and working on one's Book of Centuries are also part of developing this relationship.</p><p>This topic is included in the following course(s): History: Grades 7-8 (Canada)</p>",""
"alveary-rec0aDWTW0hc4lgFa","U.S. History: Grades 9-12","5","36","History","[]","{, 'monday': True, 'tuesday': True, 'wednesday': True, 'thursday': True, 'friday': True, }","UNGRADED","","","","<p>Read about U.S. history from 1800 to 1900 through primary source documents, creative nonfiction, and history spines. View images and reference atlases and maps to set the people and events in their time and place. Update History Charts and Book of Centuries.</p><p>This topic is included in the following course(s): History: Grade 9 (U.S.), History: Grades 10-12 (U.S.)</p>",""
"alveary-recdTMiHl2JScwuDc","World History: Grade 9","5","36","History","[]","{, 'monday': True, 'tuesday': True, 'wednesday': True, 'thursday': True, 'friday': True, }","UNGRADED","","","","<p>Reading about the lives of people and events from the time period in many different parts of the world gives students a sense of the growing interconnectedness of the world at this time. A Little Book for New Historians in the third term casts a vision for what it means to think Christianly and historically as a student of history. It raises important questions of complexity, nuance, perspective, empathy, and humility as students enter the HS years.</p><p>This topic is included in the following course(s): History: Grade 9 (U.S.), History: Grade 9 (Canada)</p>",""
"alveary-recSmUCl42Ci92IOe","Canadian History: Grades 9-10","5","36","History","[]","{, 'monday': True, 'tuesday': True, 'wednesday': True, 'thursday': True, 'friday': True, }","UNGRADED","","","","<p>Read about Canadian history from 1800-1900 through books that immerse students in the time period and allow them to see the world through the eyes of those who lived it. Through engaging narratives, biographies, history spines, primary source documents, oral histories, historical fiction, and books that show different perspectives, students come to see history as more than dates and events and develop relationships with people from the past. Viewing images, looking at maps, and working on one's Book of Centuries are also part of developing this relationship.</p><p>This topic is included in the following course(s): History: Grade 9 (Canada), History: Grade 10 (Canada)</p>",""
"alveary-recwL9S7kHOS6Kk8L","Ancient History: Grades 10-12","5","36","History","[]","{, 'monday': True, 'tuesday': True, 'wednesday': True, 'thursday': True, 'friday': True, }","UNGRADED","","","","<p>Drawing on material culture, primary sources, and wider overviews, this course delves into the time period from 100 BC to 350 AD.</p><p>This topic is included in the following course(s): History: Grades 10-12 (U.S.), History: Grade 10 (Canada), History: Grades 11-12 (Canada)</p>",""
"alveary-recLvvAD3qwZTJey2","World History: Grades 10-12","5","36","History","[]","{, 'monday': True, 'tuesday': True, 'wednesday': True, 'thursday': True, 'friday': True, }","UNGRADED","","","","<p>Read about world history from 1800-1900. View images and reference atlases and maps to set the people and events in their time and place. Update History Charts and Book of Centuries.</p><p>This topic is included in the following course(s): History: Grade 10 (Canada), History: Grades 11-12 (Canada), History: Grades 10-12 (U.S.)</p>",""
"alveary-recVKX5urW9nTXPjR","Canadian History: Grades 11-12","5","36","History","[]","{, 'monday': True, 'tuesday': True, 'wednesday': True, 'thursday': True, 'friday': True, }","UNGRADED","","","","<p>Read about Canadian history from 1800-1900 through biographies, primary source documents, history spines, and historical fiction. View images and reference atlases and maps to set the people and events in their time and place. Update History Charts and Book of Centuries.</p><p>This topic is included in the following course(s): History: Grades 11-12 (Canada)</p>",""
